"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","view_history","rt","stimulus","response","image","image_category","arrow","arrow_position","response_arrow","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","4","","","","","","","","","",""
"","","","","","instructions","1","2.1.0","5169","[{""page_index"":0,""viewing_time"":2046},{""page_index"":1,""viewing_time"":1938},{""page_index"":2,""viewing_time"":1179}]","5163","","","","","","","",""
"","","","","","html-keyboard-response","2","2.1.0","5977","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","6909","","932","
        <div class=""progress-bar"" style=""width: 85.83333333333333%;""></div>
        <div class=""trial-counter"">Trial 103 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Fireworks 6.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 65%; transform: translate(-50%, -50%);"">
                ↑
            </div>
        </div>
    ","ArrowUp","images/high_pos/Fireworks 6.jpg","high_arousal_positive","↑","right-lower","↑","1"
"","","","","","html-keyboard-response","4","2.1.0","7721","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","5","2.1.0","8537","","814","
        <div class=""progress-bar"" style=""width: 45%;""></div>
        <div class=""trial-counter"">Trial 54 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Fire 9.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 55%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_neg/Fire 9.jpg","high_arousal_negative","↓","left-mid-lower","↓","1"
"","","","","","html-keyboard-response","6","2.1.0","9339","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","7","2.1.0","9969","","629","
        <div class=""progress-bar"" style=""width: 40.833333333333336%;""></div>
        <div class=""trial-counter"">Trial 49 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Injury 4.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 25%; transform: translate(-50%, -50%);"">
                →
            </div>
        </div>
    ","ArrowRight","images/high_neg/Injury 4.jpg","high_arousal_negative","→","right-upper","→","1"
"","","","","","html-keyboard-response","8","2.1.0","10783","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","9","2.1.0","11533","","747","
        <div class=""progress-bar"" style=""width: 91.66666666666666%;""></div>
        <div class=""trial-counter"">Trial 110 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Cat 5.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 85%; transform: translate(-50%, -50%);"">
                →
            </div>
        </div>
    ","ArrowRight","images/high_pos/Cat 5.jpg","high_arousal_positive","→","left-bottom","→","1"
