"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","view_history","rt","stimulus","response","image","image_category","arrow","arrow_position","response_arrow","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","5","","","","","","","","","",""
"","","","","","instructions","1","2.1.0","8479","[{""page_index"":0,""viewing_time"":1923},{""page_index"":1,""viewing_time"":5553},{""page_index"":2,""viewing_time"":996}]","8472","","","","","","","",""
"","","","","","html-keyboard-response","2","2.1.0","9282","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","10991","","1709","
        <div class=""progress-bar"" style=""width: 44.166666666666664%;""></div>
        <div class=""trial-counter"">Trial 53 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Dummy 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 15%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_neg/Dummy 1.jpg","high_arousal_negative","↓","left-top","↓","1"
"","","","","","html-keyboard-response","4","2.1.0","11798","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","5","2.1.0","12555","","756","
        <div class=""progress-bar"" style=""width: 25%;""></div>
        <div class=""trial-counter"">Trial 30 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Paper 3.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 85%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Paper 3.jpg","neutral","←","right-bottom","←","1"
"","","","","","html-keyboard-response","6","2.1.0","13364","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","7","2.1.0","14092","","727","
        <div class=""progress-bar"" style=""width: 3.3333333333333335%;""></div>
        <div class=""trial-counter"">Trial 4 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Bricks 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 25%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/neutral/Bricks 1.jpg","neutral","↓","right-upper","↓","1"
"","","","","","html-keyboard-response","8","2.1.0","14980","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","9","2.1.0","16195","","1214","
        <div class=""progress-bar"" style=""width: 43.333333333333336%;""></div>
        <div class=""trial-counter"">Trial 52 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Fire 5.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 55%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_neg/Fire 5.jpg","high_arousal_negative","↓","right-mid-lower","↓","1"
