"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","view_history","rt","stimulus","response","image","image_category","arrow","arrow_position","response_arrow","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","6","","","","","","","","","",""
"","","","","","instructions","1","2.1.0","4932","[{""page_index"":0,""viewing_time"":1987},{""page_index"":1,""viewing_time"":1804},{""page_index"":2,""viewing_time"":1135}]","4926","","","","","","","",""
"","","","","","html-keyboard-response","2","2.1.0","5738","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","3","2.1.0","6766","","1028","
        <div class=""progress-bar"" style=""width: 33.33333333333333%;""></div>
        <div class=""trial-counter"">Trial 40 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Office supplies 2.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 35%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Office supplies 2.jpg","neutral","←","right-upper-mid","←","1"
"","","","","","html-keyboard-response","4","2.1.0","7575","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","5","2.1.0","8232","","656","
        <div class=""progress-bar"" style=""width: 8.333333333333332%;""></div>
        <div class=""trial-counter"">Trial 10 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Wall 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 45%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Wall 1.jpg","neutral","←","left-mid","←","1"
"","","","","","html-keyboard-response","6","2.1.0","9039","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","7","2.1.0","9875","","836","
        <div class=""progress-bar"" style=""width: 82.5%;""></div>
        <div class=""trial-counter"">Trial 99 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Fireworks 2.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 15%; transform: translate(-50%, -50%);"">
                →
            </div>
        </div>
    ","ArrowRight","images/high_pos/Fireworks 2.jpg","high_arousal_positive","→","right-top","→","1"
"","","","","","html-keyboard-response","8","2.1.0","10675","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","9","2.1.0","11554","","877","
        <div class=""progress-bar"" style=""width: 76.66666666666667%;""></div>
        <div class=""trial-counter"">Trial 92 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Rainbow 2.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 35%; transform: translate(-50%, -50%);"">
                ↑
            </div>
        </div>
    ","ArrowUp","images/high_pos/Rainbow 2.jpg","high_arousal_positive","↑","left-upper-mid","↑","1"
"","","","","","html-keyboard-response","10","2.1.0","12364","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","11","2.1.0","13259","","894","
        <div class=""progress-bar"" style=""width: 73.33333333333333%;""></div>
        <div class=""trial-counter"">Trial 88 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Beach 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 45%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_pos/Beach 1.jpg","high_arousal_positive","↓","right-mid","↓","1"
"","","","","","html-keyboard-response","12","2.1.0","14068","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","13","2.1.0","14707","","639","
        <div class=""progress-bar"" style=""width: 35.833333333333336%;""></div>
        <div class=""trial-counter"">Trial 43 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Fire 11.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 55%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_neg/Fire 11.jpg","high_arousal_negative","↓","left-mid-lower","↓","1"
"","","","","","html-keyboard-response","14","2.1.0","15514","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","15","2.1.0","16525","","1010","
        <div class=""progress-bar"" style=""width: 100%;""></div>
        <div class=""trial-counter"">Trial 120 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Beach 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 75%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_pos/Beach 1.jpg","high_arousal_positive","↓","left-bottom-upper","↓","1"
"","","","","","html-keyboard-response","16","2.1.0","17331","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","17","2.1.0","18831","","1499","
        <div class=""progress-bar"" style=""width: 66.66666666666666%;""></div>
        <div class=""trial-counter"">Trial 80 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/War 8.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 45%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_neg/War 8.jpg","high_arousal_negative","↓","right-mid","↓","1"
"","","","","","html-keyboard-response","18","2.1.0","19646","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","19","2.1.0","21076","","1430","
        <div class=""progress-bar"" style=""width: 45%;""></div>
        <div class=""trial-counter"">Trial 54 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Fire 9.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 35%; transform: translate(-50%, -50%);"">
                ↑
            </div>
        </div>
    ","ArrowUp","images/high_neg/Fire 9.jpg","high_arousal_negative","↑","right-upper-mid","↑","1"
"","","","","","html-keyboard-response","20","2.1.0","21880","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","21","2.1.0","23374","","1493","
        <div class=""progress-bar"" style=""width: 87.5%;""></div>
        <div class=""trial-counter"">Trial 105 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Nude couple 5.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 85%; transform: translate(-50%, -50%);"">
                ↑
            </div>
        </div>
    ","ArrowUp","images/high_pos/Nude couple 5.jpg","high_arousal_positive","↑","left-bottom","↑","1"
"","","","","","html-keyboard-response","22","2.1.0","24175","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","23","2.1.0","25518","","1342","
        <div class=""progress-bar"" style=""width: 38.333333333333336%;""></div>
        <div class=""trial-counter"">Trial 46 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Fire 9.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 55%; transform: translate(-50%, -50%);"">
                ↑
            </div>
        </div>
    ","ArrowUp","images/high_neg/Fire 9.jpg","high_arousal_negative","↑","left-mid-lower","↑","1"
"","","","","","html-keyboard-response","24","2.1.0","26327","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","25","2.1.0","27077","","749","
        <div class=""progress-bar"" style=""width: 11.666666666666666%;""></div>
        <div class=""trial-counter"">Trial 14 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Paper 3.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 25%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Paper 3.jpg","neutral","←","right-upper","←","1"
"","","","","","html-keyboard-response","26","2.1.0","27883","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","27","2.1.0","29207","","1324","
        <div class=""progress-bar"" style=""width: 85%;""></div>
        <div class=""trial-counter"">Trial 102 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Cat 5.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 25%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_pos/Cat 5.jpg","high_arousal_positive","↓","left-upper","↓","1"
"","","","","","html-keyboard-response","28","2.1.0","30009","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","29","2.1.0","30642","","633","
        <div class=""progress-bar"" style=""width: 28.333333333333332%;""></div>
        <div class=""trial-counter"">Trial 34 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Wall 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 45%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Wall 1.jpg","neutral","←","right-mid","←","1"
"","","","","","html-keyboard-response","30","2.1.0","31456","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","31","2.1.0","33296","","1839","
        <div class=""progress-bar"" style=""width: 61.66666666666667%;""></div>
        <div class=""trial-counter"">Trial 74 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Explosion 5.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 35%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/high_neg/Explosion 5.jpg","high_arousal_negative","←","left-upper-mid","←","1"
"","","","","","html-keyboard-response","32","2.1.0","34112","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","33","2.1.0","35087","","974","
        <div class=""progress-bar"" style=""width: 14.166666666666666%;""></div>
        <div class=""trial-counter"">Trial 17 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Wall 2.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 55%; transform: translate(-50%, -50%);"">
                ↑
            </div>
        </div>
    ","ArrowUp","images/neutral/Wall 2.jpg","neutral","↑","right-mid-lower","↑","1"
"","","","","","html-keyboard-response","34","2.1.0","35900","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","35","2.1.0","37642","","1742","
        <div class=""progress-bar"" style=""width: 58.333333333333336%;""></div>
        <div class=""trial-counter"">Trial 70 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Fire 9.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 55%; transform: translate(-50%, -50%);"">
                →
            </div>
        </div>
    ","ArrowRight","images/high_neg/Fire 9.jpg","high_arousal_negative","→","right-mid-lower","→","1"
"","","","","","html-keyboard-response","36","2.1.0","38446","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","37","2.1.0","39447","","1000","
        <div class=""progress-bar"" style=""width: 16.666666666666664%;""></div>
        <div class=""trial-counter"">Trial 20 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Bricks 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 55%; transform: translate(-50%, -50%);"">
                →
            </div>
        </div>
    ","ArrowRight","images/neutral/Bricks 1.jpg","neutral","→","left-mid-lower","→","1"
"","","","","","html-keyboard-response","38","2.1.0","40253","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","39","2.1.0","42560","","2306","
        <div class=""progress-bar"" style=""width: 37.5%;""></div>
        <div class=""trial-counter"">Trial 45 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_neg/Dummy 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 45%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_neg/Dummy 1.jpg","high_arousal_negative","↓","left-mid","↓","1"
"","","","","","html-keyboard-response","40","2.1.0","43372","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","41","2.1.0","43971","","598","
        <div class=""progress-bar"" style=""width: 93.33333333333333%;""></div>
        <div class=""trial-counter"">Trial 112 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/high_pos/Beach 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 92%; top: 55%; transform: translate(-50%, -50%);"">
                ↓
            </div>
        </div>
    ","ArrowDown","images/high_pos/Beach 1.jpg","high_arousal_positive","↓","right-mid-lower","↓","1"
"","","","","","html-keyboard-response","42","2.1.0","44775","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","43","2.1.0","45606","","830","
        <div class=""progress-bar"" style=""width: 32.5%;""></div>
        <div class=""trial-counter"">Trial 39 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Paperclips 3.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 55%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Paperclips 3.jpg","neutral","←","left-mid-lower","←","1"
"","","","","","html-keyboard-response","44","2.1.0","46419","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
"","","","","","html-keyboard-response","45","2.1.0","47089","","669","
        <div class=""progress-bar"" style=""width: 21.666666666666668%;""></div>
        <div class=""trial-counter"">Trial 26 / 120</div>
        <div class=""trial-screen"">
            <div class=""center-image-container"">
                <img src=""images/neutral/Wall 1.jpg"" class=""center-image"">
            </div>
            <div class=""arrow-subtle"" style=""left: 8%; top: 65%; transform: translate(-50%, -50%);"">
                ←
            </div>
        </div>
    ","ArrowLeft","images/neutral/Wall 1.jpg","neutral","←","left-lower","←","1"
"","","","","","html-keyboard-response","46","2.1.0","47895","","null","
            <div class=""trial-screen"">
                <div class=""fixation-modern"">+</div>
            </div>
        ","null","","","","","",""
